name,item_kind,serving_g,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_100g,role,cuisine,diet_tags,usda_description,image_url
Tuna,component,150,184.0,29.9,0.0,6.3,0.0,0.0,50.0,main,intl,"balanced,hp,wl,wg,keto,diab","fish, tuna, fresh, bluefin, cooked, dry heat",https://live.staticflickr.com/7807/32245781307_9eb048c850_b.jpg
Turkey Breast,component,150,136.0,29.5,0.0,2.0,0.0,0.0,114.0,main,intl,"balanced,hp,wl,keto,diab","turkey, retail parts, breast, meat only, cooked, roasted",https://live.staticflickr.com/2279/2216383605_edb763cd63_b.jpg
Turkey Leg,component,150,208.0,27.9,0.0,9.8,0.0,0.0,77.0,main,intl,"balanced,hp,wl,wg,keto,diab","turkey, all classes, leg, meat and skin, cooked, roasted",https://live.staticflickr.com/3033/2981786671_426485d9a2_b.jpg
Veal Cutlet,component,150,198.0,28.0,0.2,9.5,0.0,0.0,86.0,main,intl,"balanced,hp,wl,wg,keto,diab","veal, loin, chop, separable lean and fat, cooked, grilled",https://live.staticflickr.com/3134/3250148359_bed16b172c_b.jpg
White Beans,component,150,118.0,8.3,21.1,0.4,7.0,0.0,238.0,main,intl,"balanced,wl,diab","beans, great northern, mature seeds, cooked, boiled, with salt",https://upload.wikimedia.org/wikipedia/commons/9/93/Phaseolus_vulgaris_white_beans%2C_witte_boon.jpg
Whole Egg,component,150,143.0,12.6,0.7,9.5,0.0,0.4,142.0,main,intl,"balanced,wl,keto,diab","egg, whole, raw, fresh",https://upload.wikimedia.org/wikipedia/commons/4/4d/Pure_dried_whole_eggs_from_the_United_States_of_America.jpg
Whole Roast Chicken,component,150,223.0,24.0,0.0,13.4,0.0,0.0,73.0,main,intl,"balanced,hp,wl,wg,keto,diab","chicken, roasting, meat and skin, cooked, roasted",https://live.staticflickr.com/3915/15112547626_a3f80c5d66.jpg
2% Milk,component,100,50.0,3.3,4.8,2.0,0.0,5.1,47.0,side,intl,"balanced,wl,keto,diab","milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",https://live.staticflickr.com/3638/3284192111_fc4ca0d009_b.jpg
Blue Cheese,component,100,353.0,21.4,2.3,28.7,0.0,0.5,1146.0,side,intl,"balanced,hp,wg,keto,diab","cheese, blue",https://live.staticflickr.com/518/32575059692_2863cce110_b.jpg
Brie,component,100,334.0,20.8,0.4,27.7,0.0,0.4,629.0,side,intl,"balanced,hp,wg,keto,diab","cheese, brie",https://live.staticflickr.com/2101/2031523023_3749aae40e_b.jpg
Buttermilk,component,100,40.0,3.3,4.8,1.1,0.0,5.4,148.0,side,intl,"balanced,wl,keto,diab","milk, buttermilk, fluid, cultured, lowfat",https://live.staticflickr.com/4117/4858824233_2d4729a566.jpg
Cheddar Cheese,component,100,403.0,22.9,3.4,33.3,0.0,0.5,653.0,side,intl,"balanced,hp,wg,keto,diab","cheese, cheddar (includes foods for usda's food distribution program)",https://live.staticflickr.com/6178/6266572782_5f8cc03850.jpg
Dark Chocolate (70-85%),component,25,598.0,7.8,45.9,42.6,10.9,24.0,20.0,side,intl,"balanced,wg",(manual entry),https://live.staticflickr.com/3231/2955218665_2bfa8d2753_b.jpg
Date Molasses (3asal Eswed),component,20,290.0,1.5,73.0,0.1,0.0,66.0,40.0,side,egyptian,"balanced,wg",(manual entry),
Feta Cheese,component,100,265.0,14.2,3.9,21.5,0.0,0.0,1139.0,side,egyptian,"balanced,wg,keto,diab","cheese, feta",https://live.staticflickr.com/6070/6089391116_f42ff759f1_b.jpg
Goat Cheese,component,100,364.0,21.6,0.1,29.8,0.0,0.1,415.0,side,intl,"balanced,hp,wg,keto,diab","cheese, goat, semisoft type",https://live.staticflickr.com/2418/2166922007_a238990a75_b.jpg
Goat Milk,component,100,69.0,3.6,4.4,4.1,0.0,4.4,50.0,side,intl,"balanced,wl,keto,diab","milk, goat, fluid, with added vitamin d",https://live.staticflickr.com/6034/6855881036_101fff4915_b.jpg
Gouda,component,100,356.0,24.9,2.2,27.4,0.0,2.2,819.0,side,intl,"balanced,hp,wg,keto,diab","cheese, gouda",https://live.staticflickr.com/65535/52292770381_ee2b70b466_b.jpg
Honey,component,20,304.0,0.3,82.4,0.0,0.2,82.1,4.0,side,intl,"balanced,wg",(manual entry),https://live.staticflickr.com/2230/3535805377_807788e3e1.jpg
Hummus,component,100,177.0,4.9,20.1,8.6,4.0,0.3,242.0,side,egyptian,"balanced,wl,wg,diab","hummus, home prepared",https://live.staticflickr.com/5220/5384913459_f2bbbeb55c_b.jpg
Jam / Preserves,component,20,278.0,0.4,68.9,0.1,1.1,48.5,32.0,side,intl,"balanced,wg",(manual entry),https://live.staticflickr.com/3879/15257066871_478abdb975_b.jpg
Kefir,component,100,43.0,3.8,4.8,1.0,0.0,4.6,40.0,side,intl,"balanced,wl,keto,diab","kefir, lowfat, plain, lifeway",https://live.staticflickr.com/5145/5646471044_9f1916bd72_b.jpg
Mozzarella,component,100,280.0,27.5,3.1,17.1,0.0,1.2,16.0,side,intl,"balanced,hp,wg,keto,diab","cheese, mozzarella, low sodium",https://live.staticflickr.com/8699/16356737613_55fa399e37_b.jpg
Parmesan,component,100,421.0,29.6,12.4,28.0,0.0,0.0,1750.0,side,intl,"balanced,hp,wg,diab","cheese, parmesan, grated",https://live.staticflickr.com/7248/7515840114_c163ccc29a_b.jpg
Plain Yogurt,component,100,61.0,3.5,4.7,3.2,0.0,4.7,46.0,side,intl,"balanced,wl,keto,diab","yogurt, plain, whole milk",https://live.staticflickr.com/5278/5905801849_a8bd2a3ef8_b.jpg
Provolone,component,100,351.0,25.6,2.1,26.6,0.0,0.6,727.0,side,intl,"balanced,hp,wg,keto,diab","cheese, provolone",https://live.staticflickr.com/6216/6391374457_02117f59a1_b.jpg
Ricotta,component,100,157.0,7.8,6.9,11.0,0.0,0.0,105.0,side,intl,"balanced,wl,wg,keto,diab","cheese, ricotta, whole milk",https://live.staticflickr.com/3169/3097935110_31c3a7bdc5_b.jpg
Skim Milk,component,100,35.0,3.4,4.8,0.2,0.0,4.8,52.0,side,intl,"balanced,wl,keto,diab","milk, fluid, nonfat, calcium fortified (fat free or skim)",https://live.staticflickr.com/5292/5484711716_8dace00183_b.jpg
Sour Cream,component,100,181.0,7.0,7.0,14.1,0.0,0.3,70.0,side,intl,"balanced,wl,wg,keto,diab","sour cream, reduced fat",https://live.staticflickr.com/1330/804816879_ffe1285a28_b.jpg
Swiss Cheese,component,100,393.0,27.0,1.4,31.0,0.0,0.0,187.0,side,intl,"balanced,hp,wg,keto,diab","cheese, swiss",https://live.staticflickr.com/2356/2504979711_756c0530ba_b.jpg
Whole Milk,component,100,61.0,3.5,4.7,3.2,0.0,4.7,46.0,side,intl,"balanced,wl,keto,diab","yogurt, plain, whole milk",https://live.staticflickr.com/4137/4922873299_b62d9746f7_b.jpg
Acorn Squash,component,100,56.0,1.1,14.6,0.1,4.4,0.0,240.0,veg,intl,"balanced,wl,diab","squash, winter, acorn, cooked, baked, with salt",https://live.staticflickr.com/5494/11347667625_7d1960507e_b.jpg
Artichoke,component,100,47.0,3.3,10.5,0.2,5.4,1.0,94.0,veg,intl,"balanced,wl,diab","artichokes, (globe or french), raw",https://live.staticflickr.com/7382/9739749225_07e2349275_b.jpg
Arugula,component,100,25.0,2.6,3.6,0.7,1.6,2.0,27.0,veg,intl,"balanced,wl,keto,diab","arugula, raw",https://live.staticflickr.com/42/74928697_dcc0d87621_b.jpg
Asparagus,component,100,20.0,2.2,3.9,0.1,2.1,1.9,2.0,veg,intl,"balanced,wl,keto,diab","asparagus, raw",https://live.staticflickr.com/3064/2697879034_9e3cb7fc55_b.jpg
Bamboo Shoots,component,100,27.0,2.6,5.2,0.3,2.2,3.0,4.0,veg,intl,"balanced,wl,keto,diab","bamboo shoots, raw",https://live.staticflickr.com/3037/2822133385_6b5076ba4a_b.jpg
Basil,component,100,23.0,3.2,2.6,0.6,1.6,0.3,4.0,veg,intl,"balanced,wl,keto,diab","basil, fresh",https://live.staticflickr.com/1377/933244618_5f7c4c76d6_b.jpg
Bean Sprouts,component,100,33.0,4.8,4.7,0.6,0.0,0.0,243.0,veg,intl,"balanced,wl,keto,diab","beans, kidney, mature seeds, sprouted, cooked, boiled, drained, with salt",https://live.staticflickr.com/3541/3683922689_c3e880b69a_b.jpg
Beetroot,component,100,43.0,1.6,9.6,0.2,2.8,6.8,78.0,veg,intl,"balanced,wl,keto","beets, raw",https://live.staticflickr.com/21/94635795_180a8ec392_b.jpg
Bell Pepper,component,100,26.0,1.0,6.0,0.3,2.1,4.2,4.0,veg,intl,"balanced,wl,keto,diab","peppers, sweet, red, raw",https://live.staticflickr.com/3862/14771872333_5db889c539_b.jpg
Bok Choy,component,100,13.0,1.5,2.2,0.2,1.0,1.2,65.0,veg,intl,"balanced,wl,keto,diab","cabbage, chinese (pak-choi), raw",https://live.staticflickr.com/8082/8305262988_8c99799e6b_b.jpg
Broccoli,component,100,34.0,2.8,6.6,0.4,2.6,1.7,33.0,veg,intl,"balanced,wl,keto,diab","broccoli, raw",https://live.staticflickr.com/5055/5478500913_a364fe642e_b.jpg
Brussels Sprouts,component,100,43.0,3.4,9.0,0.3,3.8,2.2,25.0,veg,intl,"balanced,wl,keto,diab","brussels sprouts, raw",https://live.staticflickr.com/2422/3665926988_45b8f7f472_b.jpg
Butternut Squash,component,100,45.0,1.0,11.7,0.1,2.0,2.2,4.0,veg,intl,"balanced,wl,diab","squash, winter, butternut, raw",https://live.staticflickr.com/47/115462523_6fcf0cc1a1_b.jpg
Cabbage,component,100,25.0,1.3,5.8,0.1,2.5,3.2,18.0,veg,intl,"balanced,wl,keto,diab","cabbage, raw",https://live.staticflickr.com/8049/8076990249_12f30723b0_b.jpg
Capers,component,100,23.0,2.4,4.9,0.9,3.2,0.4,2348.0,veg,intl,"balanced,wl,keto,diab","capers, canned",https://live.staticflickr.com/3762/13670027443_71096e6686_b.jpg
Carrot,component,100,41.0,0.9,9.6,0.2,2.8,4.7,69.0,veg,intl,"balanced,wl,keto,diab","carrots, raw",https://live.staticflickr.com/3034/2336528175_4087c9a948.jpg
Cauliflower,component,100,25.0,1.9,5.0,0.3,2.0,1.9,30.0,veg,intl,"balanced,wl,keto,diab","cauliflower, raw",https://live.staticflickr.com/7911/47109511002_91c9174f83_b.jpg
Celery,component,100,14.0,0.7,3.0,0.2,1.6,1.3,80.0,veg,intl,"balanced,wl,keto,diab","celery, raw",https://live.staticflickr.com/3923/14717930525_a49aaa5877_b.jpg
Chili Pepper,component,100,40.0,1.9,8.8,0.4,1.5,5.3,9.0,veg,intl,"balanced,wl,keto,diab","peppers, hot chili, red, raw",https://live.staticflickr.com/79/243875074_a9fc3c5f03.jpg
Cilantro,component,100,23.0,2.1,3.7,0.5,2.8,0.9,46.0,veg,egyptian,"balanced,wl,keto,diab","coriander (cilantro) leaves, raw",https://live.staticflickr.com/3143/2648343226_58f61f7ed3_b.jpg
Collard Greens,component,100,32.0,3.0,5.4,0.6,4.0,0.5,17.0,veg,intl,"balanced,wl,keto,diab","collards, raw",https://live.staticflickr.com/6223/6330172401_1a3cedcec8_b.jpg
Cucumber,component,100,15.0,0.6,3.6,0.1,0.5,1.7,2.0,veg,intl,"balanced,wl,keto,diab","cucumber, with peel, raw",https://live.staticflickr.com/1003/4730708709_fff4534973_b.jpg
Dill,component,100,43.0,3.5,7.0,1.1,2.1,0.0,61.0,veg,egyptian,"balanced,wl,keto,diab","dill weed, fresh",https://live.staticflickr.com/2644/4182290262_6ea1eea89f_b.jpg
Eggplant,component,100,25.0,1.0,5.9,0.2,3.0,3.5,2.0,veg,egyptian,"balanced,wl,keto,diab","eggplant, raw",https://live.staticflickr.com/3243/3061205576_0e0486ab15_b.jpg
Endive,component,100,17.0,1.2,3.4,0.2,3.1,0.2,22.0,veg,intl,"balanced,wl,keto,diab","endive, raw",https://live.staticflickr.com/2679/4161073742_b58f704d17.jpg
Fennel,component,100,31.0,1.2,7.3,0.2,3.1,3.9,52.0,veg,intl,"balanced,wl,keto,diab","fennel, bulb, raw",https://live.staticflickr.com/171/444350238_cdcdb1d16e_b.jpg
Garlic,component,100,149.0,6.4,33.1,0.5,2.1,1.0,17.0,veg,intl,"balanced,wl,diab","garlic, raw",https://live.staticflickr.com/3169/2705556806_b263a7bbdb_b.jpg
Green Beans,component,100,33.0,2.3,6.4,0.5,3.4,3.2,3.0,veg,intl,"balanced,wl,keto,diab","beans, snap, green, microwaved",https://live.staticflickr.com/5560/14947740937_8d2a3f113b_b.jpg
Green Onion,component,100,27.0,1.0,5.7,0.5,1.8,3.9,15.0,veg,intl,"balanced,wl,keto,diab","onions, young green, tops only",https://live.staticflickr.com/7227/7231125574_5f0cf0e4ae_b.jpg
Green Peas,component,100,81.0,5.4,14.4,0.4,5.7,5.7,5.0,veg,intl,"balanced,wl,diab","peas, green, raw",https://live.staticflickr.com/2075/1785441107_00960b8b32_b.jpg
Hearts of Palm,component,100,28.0,2.5,4.6,0.6,2.4,0.0,426.0,veg,intl,"balanced,wl,keto,diab","hearts of palm, canned",https://live.staticflickr.com/3539/3424371585_a0738ee30e_b.jpg
Jalapeno,component,100,29.0,0.9,6.5,0.4,2.8,4.1,3.0,veg,intl,"balanced,wl,keto,diab","peppers, jalapeno, raw",https://live.staticflickr.com/6031/6212607074_faec265563_b.jpg
Kale,component,100,35.0,2.9,4.4,1.5,4.1,1.0,53.0,veg,intl,"balanced,wl,keto,diab","kale, raw",https://live.staticflickr.com/3571/3559005937_2a3045ffdf_b.jpg
Kohlrabi,component,100,27.0,1.7,6.2,0.1,3.6,2.6,20.0,veg,intl,"balanced,wl,keto,diab","kohlrabi, raw",https://live.staticflickr.com/8261/8664121533_25df438798_b.jpg
Leek,component,100,61.0,1.5,14.2,0.3,1.8,3.9,20.0,veg,intl,"balanced,wl,diab","leeks, (bulb and lower leaf-portion), raw",https://live.staticflickr.com/5210/5256124998_059ae504aa_b.jpg
Lettuce,component,100,15.0,1.4,2.9,0.2,1.3,0.8,28.0,veg,intl,"balanced,wl,keto,diab","lettuce, green leaf, raw",https://live.staticflickr.com/3272/3010140038_93630997ae_b.jpg
Mint,component,100,44.0,3.3,8.4,0.7,6.8,0.0,30.0,veg,egyptian,"balanced,wl,keto,diab","spearmint, fresh",https://live.staticflickr.com/3123/2336211411_8b19951bc7_b.jpg
Molokhia (Jute Leaves),component,100,34.0,4.6,5.8,0.2,0.0,0.0,8.0,veg,egyptian,"balanced,wl,keto,diab","jute, potherb, raw",https://live.staticflickr.com/4129/5044106847_f1fbff5734_b.jpg
Mushroom,component,100,22.0,3.1,3.3,0.3,1.0,2.0,5.0,veg,intl,"balanced,wl,keto,diab","mushrooms, white, raw",https://live.staticflickr.com/4147/5031368547_f04ec665a1_b.jpg
Mustard Greens,component,100,27.0,2.9,4.7,0.4,3.2,1.3,20.0,veg,intl,"balanced,wl,keto,diab","mustard greens, raw",https://live.staticflickr.com/65535/48358717807_0fdb29f69c_b.jpg
Okra (Bamia),component,100,33.0,1.9,7.4,0.2,3.2,1.5,7.0,veg,egyptian,"balanced,wl,keto,diab","okra, raw",https://live.staticflickr.com/8590/16017594777_be4a843a8c_b.jpg
Onion,component,100,40.0,1.1,9.3,0.1,1.7,4.2,4.0,veg,intl,"balanced,wl,keto,diab","onions, raw",https://live.staticflickr.com/21/27978405_a95f7ffc67_b.jpg
Parsley,component,100,36.0,3.0,6.3,0.8,3.3,0.8,56.0,veg,egyptian,"balanced,wl,keto,diab","parsley, fresh",https://live.staticflickr.com/3169/2705556806_b263a7bbdb_b.jpg
Parsnip,component,100,75.0,1.2,18.0,0.3,4.9,4.8,10.0,veg,intl,"balanced,wl,diab","parsnips, raw",https://live.staticflickr.com/178/442406192_eb2d12e7b7_b.jpg
Pumpkin,component,100,26.0,1.0,6.5,0.1,0.5,2.8,1.0,veg,intl,"balanced,wl,keto,diab","pumpkin, raw",https://live.staticflickr.com/3671/10180255635_1d1854b043_b.jpg
Radish,component,100,16.0,0.7,3.4,0.1,1.6,1.9,39.0,veg,intl,"balanced,wl,keto,diab","radishes, raw",https://live.staticflickr.com/7323/8962116488_abee80237f_b.jpg
Romaine Lettuce,component,100,17.0,1.2,3.3,0.3,2.1,1.2,8.0,veg,intl,"balanced,wl,keto,diab","lettuce, cos or romaine, raw",https://live.staticflickr.com/6070/6089391116_f42ff759f1_b.jpg
Rutabaga,component,100,37.0,1.1,8.6,0.2,2.3,4.5,12.0,veg,intl,"balanced,wl,keto,diab","rutabagas, raw",https://upload.wikimedia.org/wikipedia/commons/a/a7/Rutabaga%2C_variety_nadmorska.JPG
Shallot,component,100,72.0,2.5,16.8,0.1,3.2,7.9,12.0,veg,intl,"balanced,wl","shallots, raw",https://live.staticflickr.com/386/32335829442_72fe556fc2_b.jpg
Snow Peas,component,100,42.0,2.8,7.6,0.2,2.6,4.0,4.0,veg,intl,"balanced,wl,keto,diab","peas, edible-podded, raw",https://live.staticflickr.com/3263/2704733439_48a3379f4f_b.jpg
Spaghetti Squash,component,100,27.0,0.7,6.5,0.3,1.4,2.5,254.0,veg,intl,"balanced,wl,keto,diab","squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",https://live.staticflickr.com/8141/7187749939_ae56fe04ee_b.jpg
Spinach,component,100,23.0,2.9,3.6,0.4,2.2,0.4,79.0,veg,intl,"balanced,wl,keto,diab","spinach, raw",https://live.staticflickr.com/6155/6188104920_3ff1caa3f5_b.jpg
Squash,component,100,27.0,0.7,6.5,0.3,1.4,2.5,254.0,veg,intl,"balanced,wl,keto,diab","squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",https://live.staticflickr.com/2040/2956470308_5fbabc7ea1_b.jpg
Sweet Corn,component,100,98.0,3.3,23.5,0.8,2.8,0.0,5.0,veg,intl,"balanced,wl,diab","corn, sweet, white, frozen, kernels on cob, unprepared",https://live.staticflickr.com/2487/3752700730_1595aa8c29_b.jpg
Swiss Chard,component,100,19.0,1.8,3.7,0.2,1.6,1.1,213.0,veg,intl,"balanced,wl,keto,diab","chard, swiss, raw",https://live.staticflickr.com/3593/3557729503_6d8421907f_b.jpg
Tomato,component,100,18.0,1.0,4.0,0.1,0.7,2.5,11.0,veg,intl,"balanced,wl,keto,diab","tomatoes, red, ripe, cooked",https://live.staticflickr.com/3062/2779759741_af21c3e9c0_b.jpg
Turnip,component,100,28.0,0.9,6.4,0.1,1.8,3.8,67.0,veg,intl,"balanced,wl,keto,diab","turnips, raw",https://live.staticflickr.com/4132/5031230729_d9217fe7c0_b.jpg
Water Chestnut,component,100,97.0,1.4,23.9,0.1,3.0,4.8,14.0,veg,intl,"balanced,wl,diab","waterchestnuts, chinese, (matai), raw",https://live.staticflickr.com/3891/14425776547_93eb929254_b.jpg
Watercress,component,100,11.0,2.3,1.3,0.1,0.5,0.2,41.0,veg,intl,"balanced,wl,keto,diab","watercress, raw",https://live.staticflickr.com/6134/5980079247_d6fdb7db23_b.jpg
Zucchini,component,100,17.0,1.2,3.1,0.3,1.0,2.5,8.0,veg,intl,"balanced,wl,keto,diab","squash, summer, zucchini, includes skin, raw",https://live.staticflickr.com/7267/7654064656_4f028c7fc1.jpg
